UNIQUEID,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY
4480,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA
1130,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA
3100,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA
5209,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA
1967,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA
4199,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA
4493,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA
3720,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA
2365,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA
2480,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA
4179,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
4427,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
5193,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
2847,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
2418,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
1700,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
4785,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
1004,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
3909,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
3895,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
4279,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
3688,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
4915,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
5806,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
2484,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
4364,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
5869,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
3666,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
3422,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
5716,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
4841,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
4190,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
4900,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
4114,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
1551,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
5285,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
3211,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
4823,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
2843,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
4560,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
5064,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
4645,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
4853,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
2315,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
3214,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
5518,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
2791,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
1995,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
4169,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
2889,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
3539,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
4188,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
4919,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
5442,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
2710,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA
1719,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA
