UNIQUEID,QUANTITYORDERED,PRICEEACH,SALES,DEALSIZE
4480,30,$100.00 ,"$5,151.00 ",Medium
1130,50,$67.80 ,"$3,390.00 ",Medium
3100,22,$86.51 ,"$1,903.22 ",Small
5209,49,$34.47 ,"$1,689.03 ",Small
1967,25,$100.00 ,"$3,782.00 ",Medium
4199,26,$100.00 ,"$3,773.38 ",Medium
4493,45,$31.20 ,"$1,404.00 ",Small
3720,46,$53.76 ,"$2,472.96 ",Small
2365,39,$100.00 ,"$4,808.31 ",Medium
2480,41,$50.14 ,"$2,055.74 ",Small
4179,26,$100.00 ,"$5,404.62 ",Medium
4427,42,$100.00 ,"$5,398.26 ",Medium
5193,27,$100.00 ,"$3,394.98 ",Medium
2847,35,$100.00 ,"$3,920.00 ",Medium
2418,22,$54.09 ,"$1,189.98 ",Small
1700,27,$83.07 ,"$2,242.89 ",Small
4785,35,$57.46 ,"$2,011.10 ",Small
1004,25,$100.00 ,"$2,539.50 ",Small
3909,46,$100.00 ,"$4,791.82 ",Medium
3895,36,$100.00 ,"$4,228.20 ",Medium
4279,41,$47.29 ,"$1,938.89 ",Small
3688,36,$100.00 ,"$3,680.28 ",Medium
4915,25,$100.00 ,"$2,873.00 ",Small
5806,31,$100.00 ,"$3,224.31 ",Medium
2484,45,$75.63 ,"$3,403.35 ",Medium
4364,42,$100.00 ,"$4,460.82 ",Medium
5869,34,$100.00 ,"$5,958.50 ",Medium
3666,41,$100.00 ,"$4,615.78 ",Medium
3422,24,$100.00 ,"$3,457.92 ",Medium
5716,29,$100.00 ,"$3,772.61 ",Medium
4841,23,$100.00 ,"$4,556.99 ",Medium
4190,38,$100.00 ,"$5,348.50 ",Medium
4900,35,$55.49 ,"$1,942.15 ",Small
4114,44,$39.60 ,"$1,742.40 ",Small
1551,26,$100.00 ,"$2,921.62 ",Small
5285,35,$47.62 ,"$1,666.70 ",Small
3211,49,$65.87 ,"$3,227.63 ",Medium
4823,33,$100.00 ,"$3,705.24 ",Medium
2843,32,$53.31 ,"$1,705.92 ",Small
4560,50,$100.00 ,"$7,208.00 ",Large
5064,41,$100.00 ,"$8,690.36 ",Large
4645,29,$100.00 ,"$4,566.05 ",Medium
4853,22,$100.00 ,"$3,065.04 ",Medium
2315,38,$100.00 ,"$4,330.10 ",Medium
3214,41,$82.50 ,"$3,382.50 ",Medium
5518,43,$100.00 ,"$6,341.21 ",Medium
2791,44,$72.58 ,"$3,193.52 ",Medium
1995,50,$79.67 ,"$3,983.50 ",Medium
4169,41,$70.67 ,"$2,897.47 ",Small
2889,29,$70.15 ,"$2,034.35 ",Small
3539,31,$65.77 ,"$2,038.87 ",Small
4188,39,$81.14 ,"$3,164.46 ",Medium
4919,22,$100.00 ,"$2,556.18 ",Small
5442,25,$56.78 ,"$1,419.50 ",Small
2710,36,$100.00 ,"$5,279.40 ",Medium
1719,34,$90.39 ,"$3,073.26 ",Medium
5630,41,$83.44 ,"$3,421.04 ",Medium
5580,41,$100.00 ,"$4,774.86 ",Medium
5711,28,$88.63 ,"$2,481.64 ",Small
1541,49,$74.68 ,"$3,659.32 ",Medium
1201,31,$52.60 ,"$1,630.60 ",Small
5402,50,$64.83 ,"$3,241.50 ",Medium
2009,26,$63.76 ,"$1,657.76 ",Small
1804,33,$72.92 ,"$2,406.36 ",Small
3047,39,$40.15 ,"$1,565.85 ",Small
5481,31,$100.00 ,"$3,312.97 ",Medium
3439,30,$100.00 ,"$3,177.30 ",Medium
4107,34,$100.00 ,"$3,763.46 ",Medium
4510,32,$100.00 ,"$3,986.56 ",Medium
3332,44,$74.40 ,"$3,273.60 ",Medium
1505,48,$61.44 ,"$2,949.12 ",Small
2562,48,$52.64 ,"$2,526.72 ",Small
2420,30,$95.70 ,"$2,871.00 ",Small
3005,39,$99.91 ,"$3,896.49 ",Medium
5262,27,$100.00 ,"$6,065.55 ",Medium
2968,21,$100.00 ,"$3,036.60 ",Medium
1423,29,$70.87 ,"$2,055.23 ",Small
2174,25,$100.00 ,"$2,845.75 ",Small
1950,38,$83.03 ,"$3,155.14 ",Medium
5457,20,$92.90 ,"$1,858.00 ",Small
3406,33,$100.00 ,"$5,265.15 ",Medium
1947,45,$100.00 ,"$6,130.35 ",Medium
2415,39,$89.38 ,"$3,485.82 ",Medium
3875,36,$100.00 ,"$3,731.04 ",Medium
3504,38,$82.39 ,"$3,130.82 ",Medium
2034,26,$68.35 ,"$1,777.10 ",Small
3335,29,$100.00 ,"$4,049.56 ",Medium
5886,43,$67.77 ,"$2,914.11 ",Small
3596,44,$100.00 ,"$5,565.12 ",Medium
2130,35,$58.87 ,"$2,060.45 ",Small
5768,30,$63.07 ,"$1,892.10 ",Small
3822,40,$100.00 ,"$5,448.80 ",Medium
5424,31,$68.71 ,"$2,130.01 ",Small
4957,27,$43.45 ,"$1,173.15 ",Small
3799,31,$100.00 ,"$3,669.78 ",Medium
3675,34,$82.99 ,"$2,821.66 ",Small
5455,26,$100.00 ,"$4,379.18 ",Medium
4264,38,$100.00 ,"$4,432.70 ",Medium
5597,26,$100.00 ,"$3,157.44 ",Medium
4860,46,$100.00 ,"$8,257.00 ",Large
3026,47,$100.00 ,"$6,241.60 ",Medium
2874,29,$32.10 ,$930.90 ,Small
4000,37,$100.00 ,"$5,433.08 ",Medium
5674,42,$100.00 ,"$6,069.00 ",Medium
2645,32,$50.25 ,"$1,608.00 ",Small
2211,33,$100.00 ,"$3,859.68 ",Medium
3498,31,$100.00 ,"$5,074.39 ",Medium
3904,28,$89.27 ,"$2,499.56 ",Small
4153,42,$61.29 ,"$2,574.18 ",Small
2728,36,$85.25 ,"$3,069.00 ",Medium
4010,29,$59.37 ,"$1,721.73 ",Small
5103,20,$35.51 ,$710.20 ,Small
5173,39,$44.35 ,"$1,729.65 ",Small
2385,43,$78.15 ,"$3,360.45 ",Medium
3278,46,$100.00 ,"$5,942.28 ",Medium
5246,27,$73.62 ,"$1,987.74 ",Small
1395,37,$100.00 ,"$3,724.42 ",Medium
3743,48,$34.47 ,"$1,654.56 ",Small
3160,29,$100.00 ,"$7,209.11 ",Large
3939,23,$100.00 ,"$2,539.89 ",Small
2272,33,$99.66 ,"$3,288.78 ",Medium
2618,48,$49.06 ,"$2,354.88 ",Small
1068,28,$64.33 ,"$1,801.24 ",Small
2501,43,$100.00 ,"$4,818.15 ",Medium
3779,39,$100.00 ,"$4,178.85 ",Medium
4872,26,$86.68 ,"$2,253.68 ",Small
4289,21,$100.00 ,"$3,415.44 ",Medium
5780,49,$100.00 ,"$4,916.66 ",Medium
5691,50,$49.81 ,"$2,490.50 ",Small
4615,23,$68.52 ,"$1,575.96 ",Small
4990,31,$100.00 ,"$4,305.28 ",Medium
1451,39,$100.00 ,"$4,164.42 ",Medium
4691,45,$68.67 ,"$3,090.15 ",Medium
3136,48,$100.00 ,"$8,209.44 ",Large
3705,41,$100.00 ,"$4,815.45 ",Medium
4339,21,$100.00 ,"$2,925.09 ",Small
2743,24,$30.06 ,$721.44 ,Small
1338,32,$100.00 ,"$3,667.52 ",Medium
1318,28,$55.73 ,"$1,560.44 ",Small
3677,42,$100.00 ,"$4,758.18 ",Medium
3942,46,$100.00 ,"$5,723.78 ",Medium
1936,46,$100.00 ,"$7,381.16 ",Large
1696,47,$69.36 ,"$3,259.92 ",Medium
5534,44,$100.00 ,"$5,568.64 ",Medium
4463,27,$100.00 ,"$2,843.91 ",Small
3641,27,$63.38 ,"$1,711.26 ",Small
3097,33,$100.00 ,"$6,034.38 ",Medium
3261,43,$100.00 ,"$5,911.64 ",Medium
1605,39,$100.00 ,"$5,938.14 ",Medium
4835,26,$100.00 ,"$3,551.34 ",Medium
4268,21,$95.80 ,"$2,011.80 ",Small
3233,22,$100.00 ,"$2,780.58 ",Small
5283,23,$97.42 ,"$2,240.66 ",Small
2519,41,$100.00 ,"$5,189.78 ",Medium
1018,21,$49.21 ,"$1,033.41 ",Small
1186,38,$79.68 ,"$3,027.84 ",Medium
4282,45,$83.42 ,"$3,753.90 ",Medium
3654,50,$43.68 ,"$2,184.00 ",Small
3207,36,$100.00 ,"$4,219.20 ",Medium
1067,46,$100.00 ,"$5,004.80 ",Medium
1823,43,$100.00 ,"$6,916.12 ",Medium
4232,21,$89.46 ,"$1,878.66 ",Small
2208,27,$99.52 ,"$2,687.04 ",Small
2490,41,$59.60 ,"$2,443.60 ",Small
2114,35,$87.62 ,"$3,066.70 ",Medium
3562,20,$72.98 ,"$1,459.60 ",Small
3829,35,$90.57 ,"$3,169.95 ",Medium
3245,28,$70.29 ,"$1,968.12 ",Small
3887,25,$76.67 ,"$1,916.75 ",Small
3544,29,$94.14 ,"$2,730.06 ",Small
1637,38,$65.77 ,"$2,499.26 ",Small
3071,26,$59.22 ,"$1,539.72 ",Small
3834,28,$48.17 ,"$1,348.76 ",Small
1025,29,$96.34 ,"$2,793.86 ",Small
4597,46,$100.00 ,"$9,264.86 ",Large
5600,29,$71.81 ,"$2,082.49 ",Small
1399,46,$58.15 ,"$2,674.90 ",Small
5141,35,$98.05 ,"$3,431.75 ",Medium
2367,39,$100.00 ,"$4,651.53 ",Medium
5526,34,$83.79 ,"$2,848.86 ",Small
4236,29,$85.49 ,"$2,479.21 ",Small
3150,22,$100.00 ,"$2,461.36 ",Small
5400,29,$72.23 ,"$2,094.67 ",Small
3668,49,$50.62 ,"$2,480.38 ",Small
5361,47,$82.21 ,"$3,863.87 ",Medium
3898,24,$100.00 ,"$2,584.80 ",Small
2934,24,$100.00 ,"$3,417.12 ",Medium
1707,43,$76.00 ,"$3,268.00 ",Medium
